analysisengin, uima, provid, return, licens, apach, distribut, file, asf, softwar, 
bernoulli, gain, ratio, free, model, process, paramet, sole, two, base, 
laplac, gain, success, free, model, paramet, sole, base, constructor, experiment, 
drink, polici, merg, bizarro, alcohol, night, clock, dure, somewher, dai, 
task, packag, param, algorithm, parenthet, rundata, perftask, alt, run, examin, 
incom, appear, delet, reader, filter, make, document, licens, distribut, file, 
group, bc, author, id, realn, sort, actual, randomvalu, break, field, 
author, second, ensur, segment, field, licens, distribut, file, apach, asf, 
configurationkeys#allow_leading_wildcard, wildcard, lead, wildcardquerynod, queryconfighandl, processor, escap, tree, node, look, 
attempt, thrown, someth, access, alreadi, close, ha, licens, distribut, file, 
alt, benchmark, algorithm, load, specifi, altern, task, packag, abl, noth, 
perftask, packag, noth, differ, doe, licens, distribut, file, apach, asf, 
substr, 502, abstract, secur, rev, svn, stringbuild, introduc, charsequ, refactor, 
servic, classload, clazz, reload, classpath, name, allow, classpathclassload, given, disallow, 
tokenstreamcompon, compon, analyz, tokenstream, reader, sink, fieldnam, analysi, reusestrategi, reus, 
analyzerfactorytask, bytask, benchmark, task, factori, analyz, org, lucen, creat, licens, 
analysi, classnam, param, factori, argnam, analyzerfactori, name, intent, compon, class, 
smartchineseanalyz, dictionari, data, directori, danalysi, configur, analysi, found, global, manag, 
ignor, safe, fieldquerynod, know, configurationkeys#analyz, analyz, becaus, token, term, number, 
analyz, wrap, tokenstreamcompon, reader, analyzerwrapp, alter, delegatinganalyzerwrapp, given, fieldnam, name, 
suggest, index, contextqueri, match, highlight, directori, queri, weight, analyz, t0, 
context, bar, closereopen, foo, match, suggest, baz, 6464, exact, doe, 
analyz, wildcard, term, termstr, charact, chunk, parser, queri, will, fuzzi, 
analyz, surfac, form, suggest, weight, path, match, exact, maxsurfaceformsperanalyzedform, fst, 
ts, ch, suggest, top, %s, addattribut, ba, analyz, println, analyzingsuggest, 
subqueri, conjunct, individu, boost, factori, can, licens, distribut, file, apach, 
node, andquerynod, parenthesi, ed, group, root, claus, parent, avoid, oper, 
field, anyquerynod, node, ed, wa, specifi, child, null, claus, oper, 
booleanqueri, getmaxclausecount, claus, minimum, possibl, build, empti, constructor, match, number, 
apostroph, turkish, proper, contin, sea, role, strip, intend, name, relat, 
class=, solr, apostrophefilt, apostrophefilterfactori, turkishlowercasefilterfactori, analyzer&gt, standardtokenizerfactori, filter, positionincrementgap=, fieldtype&gt, 
arab, stopword, stop, arabicstemfilt, analyz, word, stem, set, arabicnormalizationfilt, light, 
arabicnorm, orthographi, tokenfilt, appli, normal, licens, distribut, file, apach, asf, 
arabicnormalizationfilterfactori, class=, solr, text_arnorm, arabicnormalizationfilt, analyzer&gt, standardtokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
alef, normal, arab, yeh, buffer, input, maksura, hamza, bare, termbuff, 
setkeywordmarkerfilt, arabicstemm, tokenfilt, stem, arab, keywordattribut, prevent, custom, tokenstream, appli, 
arabicstemfilterfactori, class=, solr, text_arstem, arabicstemfilt, arabicnormalizationfilterfactori, analyzer&gt, standardtokenizerfactori, filter, positionincrementgap=, 
buffer, stem, input, suffix, len, arab, prefix, length, true, preposit, 
arcdist, distancestyl, style, arc, distanc, comput, constructor, instanc, experiment, licens, 
analyz, stopword, stop, armenian, set, word, stem, default, tokenstreamcompon, setkeywordmarkerfilt, 
line, 295, 228, gopast, 181, substr, 73, 103, 294, 63, 
arrayinplacemergesort, object, arrai, intern, new, creat, licens, distribut, file, apach, 
arrayinplacemergesort, object, arrai, intern, new, creat, licens, distribut, file, apach, 
arraytimsort, timsort, object, arrai, intern, new, creat, licens, distribut, file, 
arrai, sort, newarrai, round, quantiti, compar, int, offset, intro, numberformatexcept, 
scorer, wrap, check, licens, distribut, file, apach, asf, addit, softwar, 
assert, default, format, alwai, return, act, segment, implement, docvalu, post, 
collector, assert, global, order, correctli, wrap, score, per, segment, given, 
assertingleafread, subread, directoryread, wrap, licens, distribut, file, apach, asf, softwar, 
close, init, assert, like, simpl, just, check, default, licens, distribut, 
weightsscor, inner, weight, queryutil, assert, sophist, add, ensur, indexsearch, helper, 
respect, collector, anoth, wrap, order, check, licens, distribut, file, apach, 
assert, wrap, sortedsetdocvalu, reus, chang, randomaccessord, check, filterleafread, codec, binarydocvalu, 
live, assert, format, like, just, default, doc, licens, distribut, file, 
close, init, assert, like, simpl, just, check, default, licens, distribut, 
assertingfieldsproduc, assert, close, somehow, checkindex, improv, incom, init, post, can, 
necessari, queri, enabl, assert, sole, wrap, constructor, licens, distribut, file, 
cachingscorerwrapp, scorer, missskip, toparentblockjoincollector, ==, hide, assert, state, iter, wrap, 
span, assert, wrap, queri, licens, distribut, file, apach, asf, softwar, 
spanweight, assertingspanweight, wrap, assert, ioexcept, error, creat, licens, distribut, file, 
begun, iter, posit, docid, exhaust, ha, span, move, twophaseiterator#match, yet, 
close, init, assert, format, like, simpl, store, just, check, default, 
collect, subscor, gather, child, collector, scorer, verifi, includ, anoth, wrap, 
close, init, vector, assert, format, like, simpl, just, check, default, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
facet, associ, floatassociationfacetfield, path, dim, dimens, arbitrari, label, add, implement, 
confid, drill, associ, occurr, tag, exampl, facet, brows, run, user, 
interfac, attribut, base, licens, distribut, file, apach, asf, softwar, mai, 
attribut, attributeimpl, clazz, attributefactori, methodhandl, given, instanc, class, deleg, factori, 
attribut, attributereflector, reflector, implement, attributereflector#reflect, attributeclass#key=valu, reflect, valu, pleas, class, 
tokenattribut, attributeimpl, attributesourc, chartermattributeimpl#reflectwith, kei, attribut, analysi, chartermattribut, class, actual, 
attributesourc, attribut, instanc, targetstream, attribute&gt, interfac, state, contain, attributeimpl, attributereflector, 
lucene50postingsformat, blocktreetermswriter#blocktreetermswrit, maxblocks, int, postingswriterbas, segmentwritest, autoprefixpostingsformat, maxitemsinautoprefix, dictionari, custom, 
prefix, debug, term, block, pend, println, foo, system, saveprefix, suffix, 
automaton, accept, determinist, min, substr, decim, interv, max, codepoint, state, 
transit, state, dest, min, ascend, label, automaton, max, ad, leav, 
automaton, automatonprovid, name, occur, ioexcept, error, provid, int, given, experiment, 
automaton, automata, term, state, automatonqueri, pattern, finit, machin, toocomplexttodeterminizeexcept, structur, 
dfa, state, reject, lexicograph, transit, portion, backtrack, enumer, possibl, string, 
surrog, bric, automaton, state, random, transit, automata, accept, string, disclaim, 
deviat, millisecond, averag, standard, licens, distribut, file, apach, asf, softwar, 
reusabl, score, averag, seen, calcul, safe, complet, payload, thread, final, 
line, horiz, minsidelength, geoport, intersect, area, calcul, cross, queryratio, datelin, 
exp, diagnost, rect, rectangl, relev, getboundingbox, encourag, functionvalues#objectv, latter, rememb, 
queryext, getmaxx, cross, queri, date, getminx, docminx, 180, docmaxx, line, 
functionvalues#objectv, chosen, spatial4j, rectangl, valuesourc, reus, function, output, onc, support, 
println, system, recurs, bkdtreewrit, cell, decodevalu, node, geo3ddocvaluesformat, nodeid, fulli, 
println, system, point, heapwrit, leaf, suppress, docid, exc, split, \n, 
lat, bkdtreedocvaluesformat, doubl, bkdpointfield, name, field, latlon, latitud, illegalargumentexcept, bound, 
maxlon, 179, unfairli, doc, boost, bkdtreedocvaluesformat, bkdpointfield, segment, randomaccessweight, match, 
polygon, clockwis, innner, costli, cell, approxim, latslon, doc, bkdtreedocvaluesformat, bkdpointfield, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
tree, leaf, 1024, point, heap, lucene54docvaluesformat, cell, disk, smaller, bkd, 
hang, onto, bkdtree, 6697, clone, load, merg, indexinput, concurr, lazi, 
bkdtreewrit, println, node, system, recurs, cell, decodelat, dead, adversari, splitvalu, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
point, println, system, tree, debug, \n, quantiz, split, leaf, splitvalu, 
bm25, idf, k1, factor, norm, collectionstatistics#maxdoc, statist, comput, normal, default, 
docidsetiter, bitset#and, test, densiti, bitset#clear, dens, spars, int, bitset, set, 
offset, correct, diff, overwrit, record, output, cumulativediff, given, stream, map, 
subread, sub, ensureopen, sum, reader, affect, doesn, multiread, support, dispatch, 
compound, cf, move, seek, didn, test, uoe, now, second, sure, 
basedocvaluesformattestcas, sure, cost, bpv, make, long, grow, new, extend, compress, 
lockfactori, lock, directori, concret, instanc, implement, hold, sole, base, constructor, 
slice, subslic, directori, ok, pad, spot, test, backdoor, make, seek, 
volatil, close, checkindex, synchron, concurr, packag, anyth, import, noth, whether, 
bitset, test, nextdoc, docidset, content, variou, bit, length=0, ramusagetest, random, 
only=tru, now, search, read, index, doc, compar, 256, miss, codec, 
macro, spanterm, spanorqueri, spannearqueri, spanqueri, queri, contain, primit, two, three, 
info, test, fi, leak, field, ok, back, etc, fieldinfo, hit, 
token#getbaseform, speech, depend, attribut, part, null, note, valu, licens, distribut, 
token#getbaseform, attribut, licens, distribut, file, apach, asf, softwar, mai, see, 
phrase, matchlength, fragment, discard, fragchars, info, accept, cross, highligh, pull, 
toff, clamp, valu, prepost, iter, arm, boost, multivalu, field, fragmentsbuild, 
borderlin, small=fals, geoutil, heavi, point, potenti, ident, slow, case, bkd, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
openinput, disabl, codec, test, thing, now, openinputcreateoutput, overhead, reproduc, iter, 
lock, ensurevalid, exc, test, shouldn, iw, fifo, delet, indexread, close, 
mergepolici, base, instanc, case, new, test, creat, licens, distribut, file, 
bpv, norm, improv, test, 8bpv, |\, thorough, undead, jump, 16, 
planet, model, deriv, furnish, embed, geo3d, class, planetmodel, shape, common, 
someth, look, els, defin, don, reus, ask, freq, better, sugar, 
si, test, ok, leak, info, etc, getcodec, handl, didnt, back, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
field, 3=3, floatdoubl, merg, codec, screw, big, bind, store, stuff, 
synonym, word, synonynmap, valid, replac, pars, space, separ, come, phrase, 
someth, look, els, defin, don, reus, ask, freq, better, ok, 
collat, exceedingli, loop, badli, neg, 000, integ, rang, try, pad, 
classpathresourceload, resourc, tokenfilterfactori, fulli, kei, argument, tokenizerfactori, classpath, initi, charfilterfactori, 
po, offset, startoffset, clearattribut, poslength, token, endoffset, tokenstream, mocktoken, arriv, 
uima, fsiter, analysisengin, low, io, engin, ioexcept, error, token, level, 
edgepoint, shape, relationship, unit, vector, arrai, edg, point, insid, vertic, 
resourc, aeprovid, analysisengin, uima, ae, xml, descript, get, metadata, instanti, 
basicaeprovid, testcas, licens, distribut, file, apach, asf, softwar, mai, see, 
model, basic, explan, subclass, dfrsimilar, overrid, inf, method, dfr, comput, 
approxim, basicmodelg, model, bose, increas, geometr, poor, +=, formula, corner, 
cleanest, phi, model, alwai, binomi, increas, abnorm, diverg, ttf, meet, 
lambda, log, bose, increas, geometr, <<, formula, slightli, paper, free, 
free, approxim, model, paramet, sole, constructor, experiment, licens, distribut, file, 
idf, tf, free, model, basic, paramet, sole, random, constructor, experiment, 
mixtur, poisson, invers, idf, tf, free, frequenc, paramet, sole, random, 
log2, model, binomi, abnorm, meet, dfr, math, tf, warn, high, 
basic, spantermqueri, termqueri, queri, basicqueryfactori, usag, termenum, buffer, subqueri, 1024, 
total, boost, number, document, averag, terms#getsumtotaltermfreq, occurr, field, frequenc, across, 
analyz, stopword, stop, basqu, set, word, stem, default, tokenstreamcompon, setkeywordmarkerfilt, 
line, gopast, 34, 32, 105, call, 107, 111, 39, 38, 
bm, engin, tokenstream, output, angelo, ab|ac|, beidermorsefilt, configur, matcher, phonet, 
beidermorsefilterfactori, approx, class=, solr, automag, languageset, beidermorsefilt, analyzer&gt, concat, comma, 
benchmark, algorithm, arg, execut, command, run, addedfix, rundata, line, verifi, 
benchmark, highlight, abstract, perform, class, licens, distribut, file, apach, asf, 
workdir, resourc, alg, suitabl, config, benchmark, unit, path, base, class, 
token, segtokenpair, pair, endtoken, list, second, find, offset, 0<a<1, begin, 
bigramdictionari, log, bigram, dctfilepath, logger, info, dictionari, serial, dict, load, 
surfac, pronunci, entri, flag, read, inflect, katakana, form, baseform, ha, 
short, pronunci, entri, po, dictionari, buffer, share, 150kb, info, size, 
bytesref#deepcopyof, bytesref, constructor, invoc, around, implicit, lookup, across, document, typic, 
share, field, valu, name, store, docvalu, binarydocvaluesfield, binari, bytesref, sorteddocvaluesfield, 
element, docvaluesfieldupd, binarydocvaluesfield, valu, idx, sorter, room, offset, long, nextdoc, 
overhead, size, flush, pagedbyt, happen, never, kb, long, hole, storag, 
valuesourc, relev, fieldsfieldcach, variabl, typic, bind, score, name, constructor, invoc, 
builder, docidset, bitset, upgrad, spars, bitset#approximatecardin, approximatecardin, cost, docidsetbuild, empti, 
cacheabl, filter, sentinel, empti, bitdocidsetfilt, cach, bitset, contain, wrapper, result, 
bitdocidset, bitsetproduc, acceptdoc, leafreadercontext, account, guarante, sub, produc, typic, take, 
bit, iter, undefin, termin, set, cardin, docidsetiter, oper, return, state, 
iter, sparsefixedbitset, bit, wrap, docidsetiter, otherwis, fixedbitset, return, provid, null, 
fixedbitset, javadoc, take, doc, creat, licens, distribut, file, apach, asf, 
bitset, produc, segment, match, document, expect, per, null, given, return, 
docs_onli, postingswriterbase#writeterm, docsenum, fixedbitset, auto, expos, onli, pull, field, term, 
bit, val, popcount, long, arr, arrai, cardin, power, neither, interleav, 
bit, gap, vector, read, byte, sum, spars, count, set, save, 
bit, neg, interfac, impl, specifi, undefin, set, length, bitset, structur, 
docidset, acceptdoc, docid, null, getdocidset, set, return, underli, filter, origin, 
bits#length, leafreader#maxdoc, bit, maxdoc, invok, leaf, sub, produc, typic, equal, 
bit, end, start, expos, inclus, exclus, exist, intern, length, new, 
multipli, element, factor, coeffici, blendertyp, suggest, search, weight, ponder, defin, 
payload, input, weight, factor, blendertyp, exactli, element, differ, transform, get, 
rewritemethod, blendedtermqueri, term, disjunctionmaxqueri, disjunctionmaxrewrit, breaker, freq, boost, imagin, sever, 
group, og, competit, groupord, println, sort, bottomslot, system, lastgroupord, groupsort, 
sort, parent, parentsort, block, dont, blockjoincomparatorsourc, docid, parentsfilt, enough, realli, 
children, select, among, parent, valu, type, configur, block, wrap, per, 
blockpackedwrit, written, stream, access, sole, random, intern, provid, constructor, licens, 
blockpackedwrit, valu, skip, block, readvlong, read, stream, datainput, unchang, blocksiz, 
minvalu, block, bit, blocksiz, valu, writevlong, encod, byte, fewer, int, 
term, dict, secret, btr, postingsreaderbas, _x, tim, nuke, hold, postingsenum, 
term, println, system, block, btr, seek, decod, target, not_found, this=, 
term, btw, seg=, block, intblock, println, segmentnam, system, blob, segment, 
lucene41postingsformat, block, lucene50postingswrit, ordsblocktreetermswrit, pack, maxblocks, encodingdecod, postingswriterbas, segmentwritest, packedint, 
term, auto, prefix, index, dictionari, blocktreetermswrit, block, debug, terms#intersect, automata, 
block, term, prefix, system, suffix, debug, println, suffixbyt, pend, auto, 
bloomfilt, bitset, retir, satur, serial, reach, appropri, bit, initialset, fieldinfo, 
bloom, postingsformat, blm, deleg, post, bloomfilt, choic, bloomfilterfactori, record, field, 
boolean, functionvalu, control, abstract, implement, retriev, valu, load, support, int, 
placehold, among, valuesourc, futur, logic, parent, abstract, common, function, appli, 
claus, booleanqueri, booleanclaus, match, appear, document, immut, oper, queri, builder#setminimumnumbershouldmatch, 
filter, filterclaus, composit, boolean, claus, querywrapperfilt, contain, result, must, acceptdoc, 
booleanfilt, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
openbitsetiter, disi, real, stock, acc, price, seri, date, flag, right, 
modifierquerynod, booleanmodifiernod, groupquerynodeprocessor, behaviour, indic, user, modifi, ad, wa, ha, 
modifierquerynod, booleanquerynod, andquerynod, precedencequeryparser#setdefaultoper, configurationkeys#default_oper, operator#and, orquerynod, appli, found, oper, 
perceptron, threshold, fst, assign, org, lucen, calcul, booleanperceptronclassifi, weight, updat, 
booleanperceptronclassifi, classif, testcas, org, lucen, apach, null, null, null, null, 
claus, queri, boolean, number, builder, toomanyclaus, disabl, immut, booleanqueri, score, 
booleanquerynod, preced, modifierquerynod, booleanmodifiersquerynodeprocessor, andquerynod, processor, rule, configurationkeys#default_oper, operator#and, ist, 
queryobjectbuilder#process, xmlparser, w3c, dom, org, booleanqueri, builder, element, javadoc, non, 
boolean, node, oper, parenthesi, booleanquerynod, explicit, ed, intend, group, root, 
booleanquerynod, object, children, querytreebuilder#query_tree_builder_tagid, modifierquerynod, consider, booleanclaus, tag, booleanqueri, defin, 
docnr, verbos, dbase, tostr, getdoc, println, system, fixm, lucen, hit, 
scorer, head, window, tail, disjunct, minshouldmatchsumscor, match, score, builder#setminimumnumbershouldmatch, 2048, 
child, modifierquerynod, booleanmodifiernod, user, defin, booleanquerynod, processor, modifi, everi, remov, 
coord, claus, option, scorer, mandatori, match, subscor, factor, comput, freq, 
claus, booleanscor, option, coord, score, minnrshouldmatch, scorer, conjunct, disjunct, case, 
boost, attribut, javadoc, multitermquery#scoring_boolean_rewrit, termsenum, multitermquery#gettermsenum, rewritemethod, fuzzyqueri, onli, 0f, 
boostattribut, intern, implement, class, licens, distribut, file, apach, asf, softwar, 
queri, boost, needscores=fals, give, parenthesi, wrap, deprec, overridden, warn, getvaluefornorm, 
boost, vari, node, child, valu, boostquerynod, pars, querynod, singl, return, 
boostquerynod, querytreebuilder#query_tree_builder_tagid, child, builder, boost, basic, appli, defin, object, read, 
fieldablenod, configurationkeys#boost, queryconfighandl, processor, config, tree, boost, node, look, appli, 
nan, infin, boostedqueri, boostingqueri, handl, prioriti, modul, comparison, max_valu, queue, 
negativequeri, demot, undesir, boostingqueri, match, boost, select, balancedqueri, score, 01f, 
boostingqueri, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
desper, suit, run, actual, like, need, queri, todo, test, licens, 
payloadtermqueri, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
scan, offset, start, find, basefragmentsbuild, begin, found, pluggabl, buffer, object, 
bound, plane, updat, latitud, point, object, longitud, signal, suppli, planet, 
word, stopword, stop, analyz, brazilian, portugues, default, tokenstreamcompon, extern, set, 
brazilianstemm, setkeywordmarkerfilt, tokenfilt, brazilianstemfilt, tokenstream, stem, adjust, wast, keywordattribut, tabl, 
brazilianstemfilterfactori, class=, solr, text_brstem, brazilianstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
rv, suffix, vowel, region, conson, letter, end, remov, safe, ct, 
breakiter, illeg, boundaryscann, avoid, offset, start, boundari, find, text, implement, 
lucenetestcas, local, random, default, test, licens, distribut, file, apach, asf, 
rulebasedbreakiter, breakiter, rulestatu, dictionarybasedbreakiter, icu, behav, rbbi, project, wrapper, hoist, 
bufferedchecksum, checksum, buffers, buffer, 256, speed, calcul, new, anoth, wrap, 
bufferedchecksumindexinput, checksumindexinput, deleg, anoth, wrap, input, simpl, call, implement, new, 
buffer, refil, read, byte, trigger, indexinput, size, bufferedindexinput, len, portion, 
buffer, entri, iter, parallel, incom, wrapper, element, context, weight, payload, 
obj_head, entri, linkedhashmap, 2pointer, val, updat, 4int, rough, sai, term, 
packet, updat, segment, delet, term, appli, delgen, order, merg, del, 
node, fst, prune, output, arc, frontier, input, inputcount, compil, build, 
analyz, bulgarian, stop, bulgarianstemfilt, word, stem, exclus, default, chjacqu, set, 
bulgarianstemm, tokenfilt, bulgarian, stem, keywordattribut, setkeywordmarkerfilt, prevent, custom, tokenstream, appli, 
bulgarianstemfilterfactori, class=, solr, text_bgstem, bulgarianstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
replac, bulgarian, buffer, input, paper, len, stem, length, ъn, perl, 
v=1, bit, per, valu, 8v, alloc, throughput, block, least, 63, 
buffer, bitsleft, flush, format#pack, just, bulkoper, block, mani, possibl, packedint, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
readwrit, sequenti, pack, effici, integ, licens, distribut, file, apach, asf, 
format#packed_single_block, bulkoper, packedint, special, non, licens, distribut, file, apach, asf, 
scorer, collector, acceptdoc, match, document, min, max, doc, score, allow, 
bulkscor, scorer, back, sole, constructor, licens, distribut, file, apach, asf, 
aioob, eof, 0xf0, much, 0x0f, bewar, note, datainput, read, warn, 
heavili, dataoutput, omit, enabl, low, assert, back, level, sure, arrai, 
slice, byte, pool, buffer, alloc, byteblockpool#nextbuff, arrai, head, first, recycl, 
bytebuff, buffer, slice, bytebufferindexinput, boundari, past, eof, offset, fall, clone, 
automaton, byte, utf32toutf8, utf8, utf, incom, base, true, represent, convert, 
output1, output2, prefix, output, remov, entir, common, sequenc, fst, byte, 
slice, read, address, forward, postingvector, final, subtract, jump, next, end, 
byte, slice, documentswrit, stream, marker, address, ram, share, post, writer, 
arrai, capac, item, malloc, orgfop, encapsul, fop, slightli, project, taken, 
byte, bytesref, mechan, 0x65, offset, length, transit, compar, equal, 0xff, 
bytesrefarrai, append, byte, spare, bytesref, compar, element, iter, alloc, bytesrefiter, 
builder, byte, content, replac, provid, append, buffer, utf, bytesref, equival, 
dofloor, biggest, target, seek, term, pair, advanc, bytesref, fix, output, 
cleaner, question, functionvalu, sort, retriev, base, instanc, string, todo, implement, 
bytesrefhash, byte, bytesref, bytesid, bytesstartarrai, hash, id, given, 5604, clear, 
iter, bytesref, reach, next, bytesrefiter, undefin, singleton, end, result, call, 
prefixtreestrategi, numerictokenstream, bother, org, intern, spatial, member, model, attribut, lucen, 
entri, sort, occur, bytesref, bucket, io, ioexcept, scenario, illegalstateexcept, iter, 
sorter, align, contract, verifi, re, iter, expect, thei, two, check, 
len, upto, dest, chunk, blockindex, len=, system, println, block, dest=, 
chartermattribut, term, raw, replac, attribut, binari, bytesref, index, can, intern, 
bytestermattribut, attribut, initi, intern, byte, implement, class, licens, distribut, file, 
stopword, word, bigram, stop, unmodifi, interpunct, analyz, default, cjkbigramfilt, cjkwidthfilt, 
unigram, bigram, cjk, output, buffer, codepoint, form, emit, charact, flag, 
class=, solr, cjkbigramfilterfactori, true, han=, outputunigrams=, cjkwidthfilterfactori, analyzer&gt, cjkbigramfilt, filter, 
halfwidth, variant, kana, 0xff9d, fullwidth, combin, katakana, normal, ascii, fold, 
class=, solr, cjkwidthfilterfactori, cjkbigramfilterfactori, analyzer&gt, cjkwidthfilt, filter, lowercasefilterfactori, standardtokenizerfactori, fieldtype&gt, 
csv, line, unquot, pars, unescap, quot, escap, valid, valu, util, 
cach, queriesfilt, corepars, lru, filter, larg, expens, maxnumcachedfilt, queri, establish, 
ordin, cachedord, cach, facet, binarydocvalu, total, categori, hold, per, ord, 
collector, cach, score, replai, ram, cachingcollector, document, threshold, collect, cachescor, 
doublev, hashmap, sourc, cach, anoth, comput, onc, intern, valu, onli, 
cach, exp, smax, log, classifi, x_n, word, concur, sum, class, 
cach, propag, call, tokenfilt, reset, token, first, time, exhaust, input, 
cach, filter, docidset, polici, filtercachingpolici, sync, cacheabl, pull, empti, wrap, 
cach, polici, queri, sync, querycachingpolici, pull, suffici, score, cachingwrapperquery#cachingwrapperqueri, wrap, 
capturerestorest, attr, binari, token, bytesref, tokenstream, can, repres, list, base, 
finalposinc, capturerestorest, attr, hole, trail, zero, tokenstream, want, can, list, 
capit, word, capitalizationfilt, maxwordcount, stringbuild, paramet, char, letter, keep, default_max_token_length, 
capit, word, mck, mckinlei, solr, capitalizationfilterfactori, keep, list, maxwordcount, class=, 
